winner,fight_duration_lastrnd_time,weight_class,dob_x,n_draw_x,n_loss_x,n_win_x,reach_x,sig_str_abs_pM_x,sig_str_def_pct_x,sig_str_land_pM_x,sig_str_land_pct_x,stance_x,sub_avg_x,td_avg_x,td_def_pct_x,td_land_pct_x,dob_y,n_draw_y,n_loss_y,n_win_y,reach_y,sig_str_abs_pM_y,sig_str_def_pct_y,sig_str_land_pM_y,sig_str_land_pct_y,stance_y,sub_avg_y,td_avg_y,td_def_pct_y,td_land_pct_y
0,5:00,Featherweight Bout,"Oct 27, 1989",0.0,4.0,16.0,"70""",2.87,0.67,4.25,0.36,Southpaw,0.6,0.58,0.93,0.3,"Jul 02, 1991",1.0,1.0,11.0,"73""",2.31,0.64,5.28,0.46,Orthodox,0.0,0.0,0.85,0.0
1,2:51,Bantamweight Bout,"Feb 06, 1995",0.0,0.0,12.0,"71""",0.47,0.83,3.58,0.5,Orthodox,1.2,4.67,0.0,0.57,"Mar 01, 1994",0.0,4.0,10.0,"71""",2.63,0.52,1.32,0.34,Orthodox,0.0,0.71,0.37,0.5
0,5:00,Women's Bantamweight Bout,"Mar 27, 1988",0.0,7.0,10.0,"65""",6.8,0.56,3.6,0.28,Orthodox,0.0,0.0,0.77,0.0,"Dec 10, 1993",0.0,1.0,7.0,"65""",2.63,0.61,4.83,0.54,Orthodox,0.0,3.0,1.0,0.37
1,3:00,Bantamweight Bout,"Feb 15, 1992",0.0,2.0,14.0,"69""",2.29,0.45,2.64,0.5,Orthodox,0.5,0.0,0.63,0.0,"Mar 16, 1990",1.0,4.0,11.0,"65""",2.92,0.56,1.54,0.4,Orthodox,0.0,2.31,1.0,0.18
0,5:00,Heavyweight Bout,"Jul 31, 1990",0.0,3.0,6.0,"82""",5.3,0.46,2.6,0.35,Orthodox,0.0,0.74,0.0,0.66,"Aug 02, 1991",1.0,5.0,17.0,"75""",2.13,0.7,6.2,0.61,Orthodox,0.0,0.0,0.0,0.0
1,5:00,Women's Flyweight Bout,"Sep 29, 1992",0.0,3.0,8.0,"67""",4.11,0.61,3.88,0.4,Southpaw,0.0,0.36,0.53,0.25,"Nov 15, 1991",0.0,3.0,5.0,"67""",3.77,0.58,4.08,0.41,Orthodox,0.0,0.7,0.71,0.5
1,5:00,Heavyweight Bout,"Mar 09, 1989",0.0,1.0,10.0,"78""",2.55,0.5,2.4,0.25,Orthodox,0.0,0.0,1.0,0.0,"May 17, 1988",0.0,3.0,10.0,"77""",3.77,0.61,4.34,0.51,Orthodox,0.0,0.78,0.75,0.5
1,1:49,Featherweight Bout,"Oct 27, 1989",0.0,4.0,16.0,"70""",2.87,0.67,4.25,0.36,Southpaw,0.6,0.58,0.93,0.3,"Jul 31, 1989",0.0,9.0,22.0,"74""",5.04,0.5,4.18,0.45,Southpaw,0.8,0.83,0.58,0.6
1,5:00,Women's Flyweight Bout,"Dec 28, 1988",0.0,2.0,13.0,"68""",4.58,0.64,4.35,0.32,Orthodox,0.1,0.0,0.56,0.0,"Dec 23, 1985",0.0,4.0,14.0,"65""",4.31,0.53,6.19,0.47,Orthodox,0.5,1.85,0.55,0.56
1,2:22,Lightweight Bout,"Mar 02, 1994",0.0,2.0,16.0,"77""",3.44,0.54,2.55,0.33,Orthodox,0.0,0.0,0.0,0.0,"Jul 21, 1994",0.0,5.0,12.0,"74""",4.79,0.41,1.52,0.61,Southpaw,0.0,3.5,0.5,1.0
1,5:00,Middleweight Bout,"Jun 13, 1989",0.0,1.0,6.0,"70""",5.5,0.51,6.6,0.47,Orthodox,0.0,3.0,0.0,0.33,"Sep 29, 1986",0.0,6.0,12.0,"73""",5.72,0.55,3.71,0.45,Orthodox,1.0,1.31,0.75,0.2
1,5:00,Bantamweight Bout,"Apr 06, 1994",0.0,1.0,10.0,"73""",4.8,0.58,4.49,0.44,Switch,0.3,0.0,0.78,0.0,"Nov 12, 1990",0.0,4.0,9.0,"70""",3.76,0.56,4.84,0.39,Orthodox,0.0,0.0,0.55,0.0
1,5:00,Welterweight Bout,"Oct 03, 1983",0.0,15.0,28.0,"70""",3.42,0.62,3.73,0.41,Orthodox,0.3,0.71,0.63,0.6,"Nov 30, 1977",0.0,10.0,19.0,"73""",2.27,0.63,1.79,0.36,Orthodox,0.4,2.46,0.64,0.48
0,3:54,Bantamweight Bout,"Feb 13, 1993",0.0,6.0,13.0,"72""",3.55,0.54,2.6,0.31,Orthodox,1.4,0.34,0.55,0.2,"Apr 20, 1994",0.0,2.0,11.0,"70""",2.8,0.61,3.42,0.48,Southpaw,0.0,0.68,0.33,0.5
0,5:00,Women's Strawweight Bout,"Mar 11, 1991",0.0,2.0,13.0,"63""",3.45,0.62,1.79,0.37,Orthodox,1.9,3.35,0.25,0.5,"Aug 04, 1993",0.0,2.0,9.0,"62""",1.53,0.65,4.8,0.38,Southpaw,0.0,3.0,0.33,0.75
1,1:21,Heavyweight Bout,"Jan 30, 1984",0.0,6.0,21.0,"77""",3.09,0.58,4.76,0.48,Orthodox,0.1,0.33,0.8,0.55,"Jul 30, 1977",1.0,8.0,23.0,"77""",2.45,0.56,3.61,0.51,Orthodox,1.1,1.65,0.31,0.3
1,0:39,UFC Middleweight Title Bout,"Apr 14, 1975",0.0,10.0,34.0,"77""",1.98,0.61,3.04,0.62,Southpaw,0.8,0.52,0.69,0.77,"Feb 29, 1980",0.0,11.0,24.0,"71""",3.21,0.48,2.81,0.48,Orthodox,0.2,0.68,0.43,0.2
