winner,fight_duration_lastrnd,fight_duration_lastrnd_time,date,location,dob_x,height_x,n_draw_x,n_loss_x,n_win_x,name_x,reach_x,sig_str_abs_pM_x,sig_str_def_pct_x,sig_str_land_pM_x,sig_str_land_pct_x,stance_x,sub_avg_x,td_avg_x,td_def_pct_x,td_land_pct_x,weight_x,dob_y,height_y,n_draw_y,n_loss_y,n_win_y,name_y,reach_y,sig_str_abs_pM_y,sig_str_def_pct_y,sig_str_land_pM_y,sig_str_land_pct_y,stance_y,sub_avg_y,td_avg_y,td_def_pct_y,td_land_pct_y,weight_y,win_percentage_x,win_percentage_y,reach_advantage,total_fights_x,total_fights_y,finishing_rate_x,finishing_rate_y,age_x,age_y,age_difference,decision_method_DQ,decision_method_Decision - Majority,decision_method_Decision - Split,decision_method_Decision - Unanimous,decision_method_KO/TKO,decision_method_Overturned,decision_method_Submission,decision_method_TKO - Doctor's Stoppage,time_format_3 Rnd (5-5-5),time_format_3 Rnd + OT (5-5-5-5),time_format_5 Rnd (5-5-5-5-5),weight_class_Catch Weight Bout,weight_class_Featherweight Bout,weight_class_Flyweight Bout,weight_class_Heavyweight Bout,weight_class_Light Heavyweight Bout,weight_class_Lightweight Bout,weight_class_Middleweight Bout,weight_class_TUF Nations Canada vs. Australia Middleweight Tournament Title Bout,weight_class_TUF Nations Canada vs. Australia Welterweight Tournament Title Bout,weight_class_UFC Bantamweight Title Bout,weight_class_UFC Featherweight Title Bout,weight_class_UFC Flyweight Title Bout,weight_class_UFC Heavyweight Title Bout,weight_class_UFC Interim Bantamweight Title Bout,weight_class_UFC Interim Featherweight Title Bout,weight_class_UFC Interim Heavyweight Title Bout,weight_class_UFC Interim Light Heavyweight Title Bout,weight_class_UFC Interim Lightweight Title Bout,weight_class_UFC Interim Middleweight Title Bout,weight_class_UFC Interim Welterweight Title Bout,weight_class_UFC Light Heavyweight Title Bout,weight_class_UFC Lightweight Title Bout,weight_class_UFC Middleweight Title Bout,weight_class_UFC Welterweight Title Bout,weight_class_UFC Women's Bantamweight Title Bout,weight_class_UFC Women's Featherweight Title Bout,weight_class_UFC Women's Flyweight Title Bout,weight_class_UFC Women's Strawweight Title Bout,weight_class_Ultimate Fighter 1 Light Heavyweight Tournament Title Bout,weight_class_Ultimate Fighter 1 Middleweight Tournament Title Bout,weight_class_Ultimate Fighter 10 Heavyweight Tournament Title Bout,weight_class_Ultimate Fighter 12 Lightweight Tournament Title Bout,weight_class_Ultimate Fighter 13 Welterweight Tournament Title Bout,weight_class_Ultimate Fighter 14 Bantamweight Tournament Title Bout,weight_class_Ultimate Fighter 14 Featherweight Tournament Title Bout,weight_class_Ultimate Fighter 15 Lightweight Tournament Title Bout,weight_class_Ultimate Fighter 16 Welterweight Tournament Title Bout,weight_class_Ultimate Fighter 17 Middleweight Tournament Title Bout,weight_class_Ultimate Fighter 19 Middleweight Tournament Title Bout,weight_class_Ultimate Fighter 23 Light Heavyweight Tournament Title Bout,weight_class_Ultimate Fighter 25 Welterweight Tournament Title Bout,weight_class_Ultimate Fighter 27 Featherweight Tournament Title Bout,weight_class_Ultimate Fighter 27 Lightweight Tournament Title Bout,weight_class_Ultimate Fighter 5 Lightweight Tournament Title Bout,weight_class_Ultimate Fighter 7 Middleweight Tournament Title Bout,weight_class_Ultimate Fighter 8 Light Heavyweight Tournament Title Bout,weight_class_Ultimate Fighter 8 Lightweight Tournament Title Bout,weight_class_Ultimate Fighter Brazil 1 Featherweight Tournament Title Bout,weight_class_Ultimate Fighter Brazil 1 Middleweight Tournament Title Bout,weight_class_Ultimate Fighter Brazil 2 Welterweight Tournament Title Bout,weight_class_Ultimate Fighter Brazil 3 Heavyweight Tournament Title Bout,weight_class_Ultimate Fighter Brazil 3 Middleweight Tournament Title Bout,weight_class_Ultimate Fighter China Featherweight Tournament Title Bout,weight_class_Ultimate Fighter China Welterweight Tournament Title Bout,weight_class_Ultimate Fighter Latin America 3 Lightweight Tournament Title Bout,weight_class_Ultimate Fighter Latin America Featherweight Tournament Title Bout,weight_class_Welterweight Bout,weight_class_Women's Bantamweight Bout,weight_class_Women's Featherweight Bout,weight_class_Women's Flyweight Bout,weight_class_Women's Strawweight Bout
0,3,5:00,"November 02, 2019","New York City, New York, USA","Oct 27, 1989","5' 7""",0.0,4.0,16.0,Julio Arce,70.0,2.87,0.67,4.25,0.36,Southpaw,0.6,0.58,0.93,0.3,145 lbs.,"Jul 02, 1991","5' 8""",1.0,1.0,11.0,Hakeem Dawodu,73.0,2.31,0.64,5.28,0.46,Orthodox,0.0,0.0,0.85,0.0,145 lbs.,0.8,0.8461538461538461,-3.0,20.0,13.0,0.2425,0.4061538461538462,30,28,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,2:51,"September 28, 2019","Copenhagen, Denmark","Feb 06, 1995","5' 8""",0.0,0.0,12.0,Jack Shore,71.0,0.47,0.83,3.58,0.5,Orthodox,1.2,4.67,0.0,0.57,135 lbs.,"Mar 01, 1994","5' 10""",0.0,4.0,10.0,Nohelin Hernandez,71.0,2.63,0.52,1.32,0.34,Orthodox,0.0,0.71,0.37,0.5,135 lbs.,1.0,0.7142857142857143,0.0,12.0,14.0,0.3983333333333334,0.0942857142857142,24,25,-1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,5:00,"November 16, 2019","Sao Paulo, Sao Paulo, Brazil","Mar 27, 1988","5' 5""",0.0,7.0,10.0,Vanessa Melo,65.0,6.8,0.56,3.6,0.28,Orthodox,0.0,0.0,0.77,0.0,135 lbs.,"Dec 10, 1993","5' 5""",0.0,1.0,7.0,Tracy Cortez,65.0,2.63,0.61,4.83,0.54,Orthodox,0.0,3.0,1.0,0.37,135 lbs.,0.5882352941176471,0.875,0.0,17.0,8.0,0.2117647058823529,0.60375,31,25,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,3,3:00,"October 05, 2019","Melbourne, Victoria, Australia","Feb 15, 1992","5' 5""",0.0,2.0,14.0,Khalid Taha,69.0,2.29,0.45,2.64,0.5,Orthodox,0.5,0.0,0.63,0.0,135 lbs.,"Mar 16, 1990","5' 4""",1.0,4.0,11.0,Bruno Silva,65.0,2.92,0.56,1.54,0.4,Orthodox,0.0,2.31,1.0,0.18,135 lbs.,0.875,0.6875,4.0,16.0,16.0,0.19625,0.09625,27,29,-2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,5:00,"October 18, 2019","Boston, Massachusetts, USA","Jul 31, 1990","6' 7""",0.0,3.0,6.0,Daniel Spitz,82.0,5.3,0.46,2.6,0.35,Orthodox,0.0,0.74,0.0,0.66,245 lbs.,"Aug 02, 1991","6' 2""",1.0,5.0,17.0,Tanner Boser,75.0,2.13,0.7,6.2,0.61,Orthodox,0.0,0.0,0.0,0.0,255 lbs.,0.6666666666666666,0.7391304347826086,7.0,9.0,23.0,0.2888888888888889,0.2695652173913043,29,28,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,5:00,"October 12, 2019","Tampa, Florida, USA","Sep 29, 1992","5' 5""",0.0,3.0,8.0,JJ Aldrich,67.0,4.11,0.61,3.88,0.4,Southpaw,0.0,0.36,0.53,0.25,125 lbs.,"Nov 15, 1991","5' 5""",0.0,3.0,5.0,Lauren Mueller,67.0,3.77,0.58,4.08,0.41,Orthodox,0.0,0.7,0.71,0.5,125 lbs.,0.7272727272727273,0.625,0.0,11.0,8.0,0.3527272727272727,0.51,27,28,-1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,3,5:00,"October 26, 2019","Kallang, Singapore","Mar 09, 1989","6' 3""",0.0,1.0,10.0,Raphael Pessoa,78.0,2.55,0.5,2.4,0.25,Orthodox,0.0,0.0,1.0,0.0,262 lbs.,"May 17, 1988","6' 2""",0.0,3.0,10.0,Jeff Hughes,77.0,3.77,0.61,4.34,0.51,Orthodox,0.0,0.78,0.75,0.5,250 lbs.,0.9090909090909092,0.7692307692307693,1.0,11.0,13.0,0.2181818181818181,0.3338461538461538,30,31,-1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,1:49,"May 18, 2019","Rochester, New York, USA","Oct 27, 1989","5' 7""",0.0,4.0,16.0,Julio Arce,70.0,2.87,0.67,4.25,0.36,Southpaw,0.6,0.58,0.93,0.3,145 lbs.,"Jul 31, 1989","6' 1""",0.0,9.0,22.0,Julian Erosa,74.0,5.04,0.5,4.18,0.45,Southpaw,0.8,0.83,0.58,0.6,145 lbs.,0.8,0.7096774193548387,-4.0,20.0,31.0,0.2425,0.1606451612903225,30,30,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,5:00,"June 08, 2019","Chicago, Illinois, USA","Dec 28, 1988","5' 9""",0.0,2.0,13.0,Katlyn Chookagian,68.0,4.58,0.64,4.35,0.32,Orthodox,0.1,0.0,0.56,0.0,125 lbs.,"Dec 23, 1985","5' 6""",0.0,4.0,14.0,Joanne Calderwood,65.0,4.31,0.53,6.19,0.47,Orthodox,0.5,1.85,0.55,0.56,125 lbs.,0.8666666666666667,0.7777777777777778,3.0,15.0,18.0,0.2966666666666666,0.3716666666666667,30,33,-3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2,2:22,"June 01, 2019","Stockholm, Sweden","Mar 02, 1994","6' 3""",0.0,2.0,16.0,Joel Alvarez,77.0,3.44,0.54,2.55,0.33,Orthodox,0.0,0.0,0.0,0.0,155 lbs.,"Jul 21, 1994","6' 0""",0.0,5.0,12.0,Danilo Belluardo,74.0,4.79,0.41,1.52,0.61,Southpaw,0.0,3.5,0.5,1.0,155 lbs.,0.8888888888888888,0.7058823529411765,3.0,18.0,17.0,0.1416666666666666,0.0894117647058823,25,25,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
