fight_id,fighter_1,fighter_1_id,fighter_2,fighter_2_id,winner,decision_method,fight_duration_lastrnd,fight_duration_lastrnd_time,time_format,weight_class,date,location,dob_x,height_x,n_draw_x,n_loss_x,n_win_x,name_x,reach_x,sig_str_abs_pM_x,sig_str_def_pct_x,sig_str_land_pM_x,sig_str_land_pct_x,stance_x,sub_avg_x,td_avg_x,td_def_pct_x,td_land_pct_x,weight_x,dob_y,height_y,n_draw_y,n_loss_y,n_win_y,name_y,reach_y,sig_str_abs_pM_y,sig_str_def_pct_y,sig_str_land_pM_y,sig_str_land_pct_y,stance_y,sub_avg_y,td_avg_y,td_def_pct_y,td_land_pct_y,weight_y
d7cbe2f23d75afd1,Julio Arce,1291edf2d566a71a,Hakeem Dawodu,2c9d00968f818270,Hakeem Dawodu,Decision - Split,3,5:00,3 Rnd (5-5-5),Featherweight Bout,"November 02, 2019","New York City, New York, USA","Oct 27, 1989","5' 7""",0.0,4.0,16.0,Julio Arce,"70""",2.87,0.67,4.25,0.36,Southpaw,0.6,0.58,0.93,0.3,145 lbs.,"Jul 02, 1991","5' 8""",1.0,1.0,11.0,Hakeem Dawodu,"73""",2.31,0.64,5.28,0.46,Orthodox,0.0,0.0,0.85,0.0,145 lbs.
f0418c2c989a5cde,Grigorii Popov,d3fa5c5955397532,Davey Grant,113df4fde64735c6,Davey Grant,Decision - Split,3,5:00,3 Rnd (5-5-5),Bantamweight Bout,"November 09, 2019","Moscow, Moscow, Russia","Apr 18, 1984","5' 7""",0.0,3.0,13.0,Grigorii Popov,"68""",4.2,0.55,3.63,0.37,Switch,0.0,0.0,0.45,0.0,135 lbs.,"Dec 18, 1985","5' 8""",0.0,4.0,11.0,Davey Grant,"69""",1.68,0.65,3.13,0.52,,0.0,2.64,0.64,0.47,135 lbs.
fc16ccf0994c6e50,Jack Shore,b8a85389d115e35a,Nohelin Hernandez,f97c5433c77522d3,Jack Shore,Submission,3,2:51,3 Rnd (5-5-5),Bantamweight Bout,"September 28, 2019","Copenhagen, Denmark","Feb 06, 1995","5' 8""",0.0,0.0,12.0,Jack Shore,"71""",0.47,0.83,3.58,0.5,Orthodox,1.2,4.67,0.0,0.57,135 lbs.,"Mar 01, 1994","5' 10""",0.0,4.0,10.0,Nohelin Hernandez,"71""",2.63,0.52,1.32,0.34,Orthodox,0.0,0.71,0.37,0.5,135 lbs.
18e1b0df8da7010e,Vanessa Melo,9b7dfb3b7d99926a,Tracy Cortez,68d4a891e5cf2029,Tracy Cortez,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Women's Bantamweight Bout,"November 16, 2019","Sao Paulo, Sao Paulo, Brazil","Mar 27, 1988","5' 5""",0.0,7.0,10.0,Vanessa Melo,"65""",6.8,0.56,3.6,0.28,Orthodox,0.0,0.0,0.77,0.0,135 lbs.,"Dec 10, 1993","5' 5""",0.0,1.0,7.0,Tracy Cortez,"65""",2.63,0.61,4.83,0.54,Orthodox,0.0,3.0,1.0,0.37,135 lbs.
57ff0eb2351979c4,Khalid Taha,b4537562f88ac582,Bruno Silva,294aa73dbf37d281,Khalid Taha,Submission,3,3:00,3 Rnd (5-5-5),Bantamweight Bout,"October 05, 2019","Melbourne, Victoria, Australia","Feb 15, 1992","5' 5""",0.0,2.0,14.0,Khalid Taha,"69""",2.29,0.45,2.64,0.5,Orthodox,0.5,0.0,0.63,0.0,135 lbs.,"Mar 16, 1990","5' 4""",1.0,4.0,11.0,Bruno Silva,"65""",2.92,0.56,1.54,0.4,Orthodox,0.0,2.31,1.0,0.18,135 lbs.
1e3d3545b6dd13a7,Daniel Spitz,f86cb5f25d545e0e,Tanner Boser,04c8b08b16a5b99e,Tanner Boser,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Heavyweight Bout,"October 18, 2019","Boston, Massachusetts, USA","Jul 31, 1990","6' 7""",0.0,3.0,6.0,Daniel Spitz,"82""",5.3,0.46,2.6,0.35,Orthodox,0.0,0.74,0.0,0.66,245 lbs.,"Aug 02, 1991","6' 2""",1.0,5.0,17.0,Tanner Boser,"75""",2.13,0.7,6.2,0.61,Orthodox,0.0,0.0,0.0,0.0,255 lbs.
64bee58391921b4b,JJ Aldrich,6fd953151d981979,Lauren Mueller,f923e012414c883e,JJ Aldrich,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Women's Flyweight Bout,"October 12, 2019","Tampa, Florida, USA","Sep 29, 1992","5' 5""",0.0,3.0,8.0,JJ Aldrich,"67""",4.11,0.61,3.88,0.4,Southpaw,0.0,0.36,0.53,0.25,125 lbs.,"Nov 15, 1991","5' 5""",0.0,3.0,5.0,Lauren Mueller,"67""",3.77,0.58,4.08,0.41,Orthodox,0.0,0.7,0.71,0.5,125 lbs.
3d9aeef58dd0b51b,Raphael Pessoa,41f90012b86a11bf,Jeff Hughes,6a11e325aa60ad02,Raphael Pessoa,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Heavyweight Bout,"October 26, 2019","Kallang, Singapore","Mar 09, 1989","6' 3""",0.0,1.0,10.0,Raphael Pessoa,"78""",2.55,0.5,2.4,0.25,Orthodox,0.0,0.0,1.0,0.0,262 lbs.,"May 17, 1988","6' 2""",0.0,3.0,10.0,Jeff Hughes,"77""",3.77,0.61,4.34,0.51,Orthodox,0.0,0.78,0.75,0.5,250 lbs.
115fa6f5f3e51bbb,Julio Arce,1291edf2d566a71a,Julian Erosa,902ec2cc48c8ae8a,Julio Arce,KO/TKO,3,1:49,3 Rnd (5-5-5),Featherweight Bout,"May 18, 2019","Rochester, New York, USA","Oct 27, 1989","5' 7""",0.0,4.0,16.0,Julio Arce,"70""",2.87,0.67,4.25,0.36,Southpaw,0.6,0.58,0.93,0.3,145 lbs.,"Jul 31, 1989","6' 1""",0.0,9.0,22.0,Julian Erosa,"74""",5.04,0.5,4.18,0.45,Southpaw,0.8,0.83,0.58,0.6,145 lbs.
82eb6fa58ae52428,Katlyn Chookagian,e872e9a9a902c045,Joanne Calderwood,12f91bfa8f1f723b,Katlyn Chookagian,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Women's Flyweight Bout,"June 08, 2019","Chicago, Illinois, USA","Dec 28, 1988","5' 9""",0.0,2.0,13.0,Katlyn Chookagian,"68""",4.58,0.64,4.35,0.32,Orthodox,0.1,0.0,0.56,0.0,125 lbs.,"Dec 23, 1985","5' 6""",0.0,4.0,14.0,Joanne Calderwood,"65""",4.31,0.53,6.19,0.47,Orthodox,0.5,1.85,0.55,0.56,125 lbs.
