name,wins,losses,draws,height,weight,reach,stance,dob,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg,last_update,last_match,total_fights,age,win_percentage
Gabriel Silva,8,2,0.0,"5'6""",135lbs.,"71""",Orthodox,"Aug26,1994",1.3,34%,3.47,45%,1.5,25%,38%,0.5,06-15-2023,02-29-2020,10.0,30.0,0.8
Aalon Cruz,8,4,0.0,"6'0""",145lbs.,"78""",Switch,"Sep20,1989",7.58,39%,8.88,58%,0.0,0%,0%,0.0,06-15-2023,03-06-2021,12.0,35.0,0.6666666666666666
Davi Ramos,10,4,0.0,"5'6""",155lbs.,"70""",Orthodox,"Nov05,1986",2.64,37%,3.44,56%,1.95,40%,83%,0.6,06-15-2023,07-18-2020,14.0,38.0,0.7142857142857143
Tyler Hill,8,2,0.0,"6'3""",170lbs.,--,Switch,"Aug10,1991",3.64,39%,5.33,47%,0.0,0%,0%,0.0,06-15-2023,06-19-2018,10.0,33.0,0.8
Wesley Little,4,8,0.0,"6'4""",205lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,11-19-2010,12.0,,0.3333333333333333
Bryan Travers,15,4,0.0,--,155lbs.,--,,"Apr11,1983",2.33,48%,3.93,55%,2.0,28%,63%,0.0,06-15-2023,02-18-2011,19.0,41.0,0.7894736842105263
Sean McCorkle,17,7,0.0,"6'7""",265lbs.,"81""",Orthodox,"Jul17,1976",0.85,44%,2.48,52%,2.12,40%,33%,4.2,06-15-2023,03-26-2011,24.0,48.0,0.7083333333333334
Jeff Molina,11,2,0.0,"5'6""",125lbs.,"69""",Orthodox,"Jul17,1997",7.25,48%,5.04,55%,0.0,0%,66%,0.0,06-15-2023,06-04-2022,13.0,27.0,0.8461538461538461
Jiri Prochazka,29,3,1.0,"6'3""",205lbs.,"80""",Orthodox,"Oct14,1992",5.77,55%,5.4,40%,0.38,100%,68%,0.4,06-15-2023,06-11-2022,33.0,32.0,0.8787878787878788
AJ Dobson,6,2,0.0,"6'1""",185lbs.,"76""",Orthodox,"Jan18,1992",4.34,46%,6.0,47%,1.75,80%,64%,0.4,06-15-2023,10-22-2022,8.0,32.0,0.75
Oron Kahlon,16,1,0.0,"5'8""",135lbs.,"70""",Orthodox,"Nov04,1984",0.85,37%,4.93,36%,0.0,0%,40%,0.0,06-15-2023,10-26-2021,17.0,40.0,0.9411764705882353
Glaico Franca Moreira,15,5,0.0,"6'0""",155lbs.,"77""",Orthodox,"Feb28,1991",2.35,42%,3.46,47%,2.68,42%,76%,0.3,06-15-2023,09-24-2016,20.0,33.0,0.75
Greg McIntyre,6,4,0.0,"5'10""",155lbs.,--,Orthodox,"Apr21,1980",0.79,30%,1.36,41%,5.09,50%,0%,0.0,06-15-2023,03-01-2009,10.0,44.0,0.6
SangHoon Yoo,8,2,0.0,"6'0""",170lbs.,"74""",Orthodox,"Jan18,1990",5.0,66%,7.27,27%,1.0,100%,75%,1.0,06-15-2023,05-28-2023,10.0,34.0,0.8
Dylan Andrews,18,7,0.0,"6'1""",185lbs.,"74""",Switch,"Nov15,1979",2.21,50%,2.72,46%,2.83,50%,57%,0.4,06-15-2023,05-09-2015,25.0,45.0,0.72
Luke Rockhold,16,6,0.0,"6'3""",185lbs.,"77""",Southpaw,"Oct17,1984",4.1,49%,2.68,53%,0.7,29%,65%,1.0,06-15-2023,08-20-2022,22.0,40.0,0.7272727272727273
John Salter,14,3,0.0,"6'1""",185lbs.,"74""",Southpaw,"Mar21,1985",1.68,32%,1.68,68%,2.85,46%,66%,0.5,06-15-2023,01-07-2011,17.0,39.0,0.8235294117647058
Denis Tiuliulin,11,7,0.0,"6'1""",185lbs.,"77""",Orthodox,"May17,1988",5.35,42%,6.07,41%,0.0,0%,72%,0.0,06-15-2023,02-04-2023,18.0,36.0,0.6111111111111112
Art Santore,18,8,0.0,"6'2""",185lbs.,--,,"Oct26,1972",1.4,12%,7.31,52%,0.0,0%,100%,0.0,06-15-2023,05-12-2007,26.0,52.0,0.6923076923076923
Joe Brammer,7,3,1.0,"5'8""",155lbs.,--,Orthodox,"Aug23,1983",2.15,31%,2.8,56%,0.81,50%,50%,0.0,06-15-2023,05-29-2010,11.0,41.0,0.6363636363636364
Gabriel Bonfim,14,0,0.0,"6'1""",170lbs.,"72""",Orthodox,"Aug20,1997",6.95,38%,5.76,65%,2.98,100%,100%,6.0,06-15-2023,,14.0,27.0,1.0
